account_no,gender,age,income,loan_amount,term,installment_amount,interest_rate,credit_score_at_application,outstanding_balance,status
acc_00853110,F,38,12173,22000,48,601,0.14,800,0,PAID_UP
acc_00853940,M,18,19964,85000,24,3844,0.08,950,0,PAID_UP
acc_00855594,M,43,6492,18000,48,597,0.25,510,1080,DEFAULT
acc_00856939,F,57,10662,18000,48,510,0.16,700,0,PAID_UP
acc_00857123,F,44,5903,5000,48,155,0.21,550,0,PAID_UP
acc_00857216,M,21,23104,27000,72,447,0.06,980,22401,LIVE
acc_00857449,F,31,6780,24000,24,1198,0.18,630,0,PAID_UP
acc_00857722,M,28,11698,49000,48,1364,0.15,740,0,PAID_UP
acc_00857738,M,38,15982,16000,60,364,0.13,820,0,PAID_UP
acc_00858936,M,51,25991,34000,48,862,0.1,920,0,PAID_UP
acc_00859966,M,30,6409,23000,36,878,0.22,540,0,PAID_UP
acc_00860436,F,36,16201,58000,60,1261,0.11,910,0,PAID_UP
acc_00861584,F,19,7756,12000,36,422,0.16,700,0,PAID_UP
acc_00861899,M,36,6734,19000,60,525,0.22,540,0,PAID_UP
acc_00861920,F,25,5810,14000,48,419,0.19,610,8921,LIVE
acc_00862373,M,30,9185,13000,60,330,0.18,650,0,PAID_UP
acc_00862728,M,27,18861,56000,60,1190,0.1,910,0,PAID_UP
acc_00863003,F,46,7282,15000,48,449,0.19,600,0,PAID_UP
acc_00863467,M,49,26049,55000,48,1395,0.1,930,0,PAID_UP
acc_00865093,F,23,2712,10000,60,305,0.27,500,600,DEFAULT
acc_00867007,M,31,10316,30000,24,1483,0.17,690,0,PAID_UP
acc_00868145,F,39,10294,20000,48,557,0.15,740,0,PAID_UP
acc_00868298,M,32,13970,22000,60,512,0.14,790,0,PAID_UP
acc_00868921,F,29,11053,18000,36,615,0.14,790,0,PAID_UP
acc_00869311,F,26,16560,66000,24,3015,0.09,940,0,PAID_UP
acc_00871133,F,57,20647,32000,36,1033,0.1,920,0,PAID_UP
acc_00873208,F,47,16128,51000,48,1343,0.12,870,45900,LIVE
acc_00874019,M,28,14878,64000,60,1456,0.13,830,21575,LIVE
acc_00876740,F,32,12583,49000,36,1651,0.13,830,20617,LIVE
acc_00879083,M,28,14219,57000,36,1921,0.13,810,0,PAID_UP
acc_00879648,F,33,4796,14000,48,441,0.22,540,0,PAID_UP
acc_00880280,M,38,18360,13000,36,432,0.12,870,4925,LIVE
acc_00881836,M,25,8221,11000,48,323,0.18,630,0,PAID_UP
acc_00881983,M,30,21061,74000,48,1877,0.1,930,0,PAID_UP
acc_00884588,F,31,7075,24000,60,609,0.18,640,0,PAID_UP
acc_00884631,M,30,14723,58000,60,1320,0.13,820,0,PAID_UP
acc_00887810,F,35,6464,14000,48,419,0.19,600,0,PAID_UP
acc_00888269,M,29,19567,62000,60,1317,0.1,910,0,PAID_UP
acc_00888471,M,36,11838,34000,48,964,0.16,720,0,PAID_UP
acc_00888724,F,41,5724,17000,36,640,0.21,560,2663,LIVE
acc_00888868,F,23,10658,26000,12,2334,0.14,800,0,PAID_UP
acc_00889782,M,23,6413,16000,60,433,0.21,570,4316,DEFAULT
acc_00890150,F,18,10191,35000,48,956,0.14,800,7507,LIVE
acc_00890983,F,31,4025,9000,36,353,0.24,520,0,PAID_UP
acc_00893471,F,45,14277,45000,48,1207,0.13,840,0,PAID_UP
acc_00893526,M,41,8616,14000,36,513,0.19,600,0,PAID_UP
acc_00893614,F,28,8198,20000,60,486,0.16,690,0,PAID_UP
acc_00893709,M,36,8772,9000,48,269,0.19,620,6725,LIVE
acc_00894883,F,28,3905,16000,48,513,0.23,520,960,DEFAULT
acc_00895480,M,34,7374,13000,48,396,0.2,570,0,PAID_UP
acc_00895777,M,24,18950,68000,60,1445,0.1,920,0,PAID_UP
acc_00895801,M,38,14200,24000,48,656,0.14,780,4322,LIVE
acc_00897102,F,37,4455,5000,48,163,0.24,520,0,PAID_UP
acc_00897509,F,26,18329,80000,48,1916,0.07,970,0,PAID_UP
acc_00897894,M,23,8312,21000,48,617,0.18,640,0,PAID_UP
acc_00899063,M,18,13590,46000,72,923,0.13,830,0,PAID_UP
acc_00899892,M,35,8148,14000,24,706,0.19,600,3964,LIVE
acc_00900893,M,18,22784,59000,60,1113,0.05,990,0,PAID_UP
acc_00901837,M,38,28570,81000,12,6971,0.06,980,0,PAID_UP
acc_00903054,F,39,4972,8000,24,419,0.23,530,0,PAID_UP
acc_00904370,M,31,6538,10000,48,315,0.22,550,0,PAID_UP
acc_00904776,F,53,6322,12000,48,378,0.22,540,0,PAID_UP
acc_00905102,M,28,22148,32000,48,781,0.08,950,0,PAID_UP
acc_00908198,M,34,6226,6000,48,192,0.23,530,1254,DEFAULT
acc_00908518,F,27,4392,14000,60,387,0.22,540,1780,DEFAULT
acc_00908658,M,42,7206,13000,48,410,0.22,540,0,PAID_UP
acc_00910084,M,41,13625,32000,60,761,0.15,760,0,PAID_UP
acc_00911250,F,25,19679,68000,36,1918,0.01,1000,0,PAID_UP
acc_00911436,M,44,8127,11000,60,291,0.2,570,0,PAID_UP
acc_00913078,M,38,8251,16000,36,586,0.19,590,0,PAID_UP
acc_00913335,F,29,11489,41000,48,1120,0.14,810,0,PAID_UP
acc_00913553,M,37,12406,31000,36,1075,0.15,740,0,PAID_UP
acc_00913757,M,34,17917,22000,48,579,0.12,870,0,PAID_UP
acc_00914498,M,18,15311,45000,72,880,0.12,870,35985,LIVE
acc_00914601,M,22,18338,47000,60,999,0.1,920,0,PAID_UP
acc_00916558,F,27,10769,33000,24,1584,0.14,790,0,PAID_UP
acc_00917327,M,32,15414,54000,60,1229,0.13,830,0,PAID_UP
acc_00917389,F,28,10342,11000,48,301,0.14,770,0,PAID_UP
acc_00917493,M,37,29582,33000,48,760,0.05,990,0,PAID_UP
acc_00918096,F,61,16271,12000,48,322,0.13,830,4168,LIVE
acc_00920362,F,47,13232,16000,60,372,0.14,800,0,PAID_UP
acc_00920998,M,35,18511,22000,24,1025,0.11,880,0,PAID_UP
acc_00921914,M,26,20098,64000,48,1623,0.1,930,0,PAID_UP
acc_00922392,F,41,8131,24000,48,705,0.18,650,0,PAID_UP
acc_00922993,M,37,6344,12000,60,345,0.24,520,1430,DEFAULT
acc_00926601,M,42,21951,48000,60,1044,0.11,910,0,PAID_UP
acc_00926640,F,31,11497,21000,36,718,0.14,800,0,PAID_UP
acc_00926657,M,42,16025,16000,48,429,0.13,810,0,PAID_UP
acc_00927666,M,65,16399,20000,36,693,0.15,750,0,PAID_UP
acc_00928892,M,28,5532,19000,60,547,0.24,510,5333,LIVE
acc_00929604,M,23,14074,20000,48,537,0.13,820,0,PAID_UP
acc_00930574,F,33,4009,4000,48,133,0.25,510,0,PAID_UP
acc_00933870,F,29,15661,58000,24,2676,0.1,910,22765,LIVE
acc_00934295,F,19,3135,7000,60,197,0.23,530,1367,DEFAULT
acc_00935627,M,52,7859,22000,24,1141,0.22,540,0,PAID_UP
acc_00935890,M,24,6538,11000,12,1024,0.21,570,3662,LIVE
acc_00936648,M,30,6509,9000,36,339,0.21,550,0,PAID_UP
acc_00936662,M,35,10428,10000,24,494,0.17,680,0,PAID_UP
acc_00937139,F,18,7008,22000,60,547,0.17,680,0,PAID_UP
acc_00937651,F,27,4950,19000,60,514,0.21,570,0,PAID_UP
acc_00938666,F,32,11969,22000,36,741,0.13,810,0,PAID_UP
acc_00939706,M,22,8864,40000,60,994,0.17,670,0,PAID_UP
acc_00945260,M,46,7013,15000,60,432,0.24,520,7140,LIVE
acc_00945494,F,27,3990,14000,48,449,0.23,530,2703,DEFAULT
acc_00946471,M,36,18748,58000,48,1499,0.11,880,0,PAID_UP
acc_00946618,M,38,6084,8000,60,240,0.26,510,1318,DEFAULT
acc_00947013,M,32,5494,10000,24,554,0.29,500,2673,DEFAULT
acc_00948083,F,34,20879,52000,48,1198,0.05,990,0,PAID_UP
acc_00948259,F,19,5931,7000,24,349,0.18,630,0,PAID_UP
acc_00948468,F,20,8584,38000,36,1317,0.15,730,0,PAID_UP
acc_00950044,M,41,19005,46000,72,899,0.12,870,0,PAID_UP
acc_00950399,F,45,19401,63000,48,1568,0.09,940,0,PAID_UP
acc_00950704,M,45,9232,29000,48,867,0.19,610,0,PAID_UP
acc_00951618,F,45,9518,28000,48,794,0.16,690,0,PAID_UP
acc_00952067,M,28,16840,43000,72,841,0.12,870,0,PAID_UP
acc_00952713,F,18,7301,7000,60,174,0.17,690,0,PAID_UP
acc_00952723,M,22,10061,8000,60,195,0.16,710,4722,LIVE
acc_00952845,M,22,20619,51000,48,1269,0.09,950,0,PAID_UP
acc_00953439,M,48,7887,5000,24,257,0.21,550,3859,LIVE
acc_00953793,M,32,11087,40000,48,1134,0.16,710,0,PAID_UP
acc_00953829,F,27,17168,73000,48,1817,0.09,950,0,PAID_UP
acc_00954126,M,38,8989,27000,48,793,0.18,620,0,PAID_UP
acc_00954923,F,32,10323,28000,60,666,0.15,760,0,PAID_UP
acc_00956071,M,33,8826,19000,60,482,0.18,630,0,PAID_UP
acc_00956355,M,35,16228,47000,48,1261,0.13,840,0,PAID_UP
acc_00956706,M,18,13788,13000,60,296,0.13,830,0,PAID_UP
acc_00956784,F,49,12939,18000,48,492,0.14,790,0,PAID_UP
acc_00957034,F,39,16584,51000,72,971,0.11,900,0,PAID_UP
acc_00957291,F,43,10087,8000,48,227,0.16,720,2383,LIVE
acc_00957612,M,38,10010,31000,36,1105,0.17,660,0,PAID_UP
acc_00958167,M,35,9149,31000,36,1121,0.18,640,0,PAID_UP
acc_00958602,M,38,8003,19000,60,503,0.2,580,0,PAID_UP
acc_00959543,F,23,16459,51000,60,1059,0.09,950,0,PAID_UP
acc_00960691,F,24,5492,5000,24,252,0.19,600,0,PAID_UP
acc_00960878,M,32,23814,35000,48,854,0.08,960,0,PAID_UP
acc_00961941,M,31,21176,87000,48,2207,0.1,930,18424,LIVE
acc_00961971,F,35,16507,17000,36,549,0.1,910,0,PAID_UP
acc_00962326,M,19,14281,47000,48,1261,0.13,840,0,PAID_UP
acc_00965091,F,36,17073,18000,60,382,0.1,920,0,PAID_UP
acc_00966307,F,33,16671,26000,60,552,0.1,920,0,PAID_UP
acc_00967429,M,24,6557,29000,60,768,0.2,570,5399,DEFAULT
acc_00967752,M,36,13344,26000,72,550,0.15,770,0,PAID_UP
acc_00968464,M,27,7683,30000,60,778,0.19,600,0,PAID_UP
acc_00972839,M,32,18085,62000,36,2030,0.11,880,0,PAID_UP
acc_00972867,M,42,7891,20000,48,609,0.2,570,0,PAID_UP
acc_00973796,M,24,14842,59000,60,1342,0.13,840,0,PAID_UP
acc_00973866,M,65,10089,6000,60,159,0.2,580,0,PAID_UP
acc_00974346,F,54,8531,19000,36,687,0.18,630,0,PAID_UP
acc_00975221,M,25,17783,72000,48,1861,0.11,900,0,PAID_UP
acc_00976356,F,30,19034,25000,36,772,0.07,970,0,PAID_UP
acc_00977525,F,38,4731,12000,60,338,0.23,520,0,PAID_UP
acc_00977677,F,42,6941,22000,24,1109,0.19,600,6680,LIVE
acc_00977801,M,23,19954,16000,24,731,0.09,940,0,PAID_UP
acc_00977970,M,27,16063,28000,36,930,0.12,860,0,PAID_UP
acc_00978704,M,38,17154,29000,48,764,0.12,850,0,PAID_UP
acc_00979692,F,41,23431,59000,36,1664,0.01,1000,0,PAID_UP
acc_00980405,F,38,5207,8000,24,415,0.22,540,0,PAID_UP
acc_00980406,M,32,17305,25000,24,1177,0.12,870,0,PAID_UP
acc_00980810,F,43,12821,25000,60,582,0.14,800,0,PAID_UP
acc_00981034,M,38,20682,32000,60,696,0.11,900,0,PAID_UP
acc_00981332,F,40,12365,42000,24,2017,0.14,800,0,PAID_UP
acc_00981740,M,42,14231,18000,48,492,0.14,770,0,PAID_UP
acc_00982060,M,38,7607,26000,48,791,0.2,570,0,PAID_UP
acc_00983929,M,26,9855,40000,72,890,0.17,690,0,PAID_UP
acc_00984542,F,46,21934,44000,72,750,0.07,970,0,PAID_UP
acc_00984949,M,31,8123,9000,48,269,0.19,610,0,PAID_UP
acc_00985583,M,19,11469,40000,12,3610,0.15,760,0,PAID_UP
acc_00985764,M,34,26346,23000,48,551,0.07,980,0,PAID_UP
acc_00985932,M,42,7633,19000,60,514,0.21,560,0,PAID_UP
acc_00986842,M,33,17909,70000,24,3295,0.12,870,0,PAID_UP
acc_00987649,M,31,14643,44000,48,1180,0.13,810,0,PAID_UP
acc_00988291,F,23,11980,41000,60,933,0.13,840,0,PAID_UP
acc_00988802,M,36,8202,8000,48,239,0.19,600,0,PAID_UP
acc_00988949,M,35,9593,19000,36,687,0.18,650,0,PAID_UP
acc_00991442,M,24,6536,24000,48,743,0.21,570,8559,DEFAULT
acc_00991511,F,35,6344,4000,48,120,0.19,600,0,PAID_UP
acc_00993034,F,18,9789,36000,48,984,0.14,780,0,PAID_UP
acc_00994626,F,24,16422,27000,48,672,0.09,950,0,PAID_UP
acc_00995121,M,33,22099,83000,24,3792,0.09,940,0,PAID_UP
acc_00996801,F,43,8880,23000,36,820,0.17,670,0,PAID_UP
acc_00998040,M,28,11292,36000,12,3249,0.15,730,0,PAID_UP
acc_00998960,M,28,20572,82000,72,1519,0.1,930,6819,LIVE
acc_00999568,F,42,21535,54000,48,1293,0.07,970,48600,LIVE
acc_01000103,M,29,16882,18000,60,400,0.12,870,0,PAID_UP
acc_01000759,M,39,7386,13000,60,352,0.21,560,0,PAID_UP
acc_01002026,M,22,11908,23000,36,797,0.15,770,0,PAID_UP
acc_01002850,M,45,17696,18000,60,410,0.13,840,0,PAID_UP
acc_01003971,F,38,11234,11000,36,376,0.14,770,0,PAID_UP
acc_01005199,F,28,15185,46000,48,1189,0.11,910,23334,LIVE
acc_01005987,M,45,17843,10000,48,268,0.13,840,0,PAID_UP
acc_01006123,M,29,13894,13000,60,302,0.14,800,0,PAID_UP
acc_01006476,M,34,6948,12000,48,372,0.21,550,0,PAID_UP
acc_01007241,M,31,9315,12000,48,346,0.17,660,0,PAID_UP
acc_01007296,M,37,23133,51000,60,1059,0.09,940,0,PAID_UP
acc_01007538,M,25,21949,81000,72,1420,0.08,960,0,PAID_UP
acc_01008628,F,40,19653,40000,48,977,0.08,950,0,PAID_UP
acc_01009983,F,18,12081,50000,72,978,0.12,860,0,PAID_UP
acc_01010958,M,51,13462,24000,24,1175,0.16,730,0,PAID_UP
acc_01011508,M,34,6355,22000,60,620,0.23,530,1320,DEFAULT
acc_01013706,M,25,18621,16000,60,340,0.1,910,14400,LIVE
acc_01014200,F,47,10938,7000,60,167,0.15,730,0,PAID_UP
acc_01016619,M,18,5647,20000,36,754,0.21,550,3202,LIVE
acc_01016829,F,46,19814,60000,12,5247,0.09,940,0,PAID_UP
acc_01016856,M,36,20820,58000,72,1074,0.1,910,0,PAID_UP
acc_01018238,F,30,18760,69000,60,1366,0.07,970,0,PAID_UP
acc_01019763,M,24,5695,10000,48,321,0.23,530,1889,DEFAULT
acc_01019806,F,46,22928,71000,48,1667,0.06,980,0,PAID_UP
acc_01020540,F,23,13525,54000,60,1174,0.11,880,0,PAID_UP
acc_01021478,M,43,22125,67000,12,5922,0.11,910,0,PAID_UP
acc_01021720,M,19,22904,100000,48,2303,0.05,990,9092,LIVE
acc_01022555,M,39,6716,6000,60,169,0.23,530,0,PAID_UP
acc_01022660,F,31,15439,58000,60,1261,0.11,900,0,PAID_UP
acc_01022677,M,46,13984,17000,72,359,0.15,750,15300,LIVE
acc_01022882,F,39,8862,11000,60,273,0.17,690,0,PAID_UP
acc_01023202,M,37,28857,68000,36,2038,0.05,990,0,PAID_UP
acc_01024351,M,27,6013,17000,48,536,0.22,540,6760,LIVE
acc_01025523,F,50,5652,9000,36,348,0.23,530,0,PAID_UP
acc_01025802,M,55,14099,15000,60,365,0.16,730,0,PAID_UP
acc_01026907,M,46,10860,10000,24,494,0.17,660,0,PAID_UP
acc_01032566,M,41,14145,19000,36,649,0.14,770,0,PAID_UP
acc_01032810,M,26,7385,9000,48,269,0.19,600,0,PAID_UP
acc_01032928,F,43,11297,16000,48,445,0.15,760,0,PAID_UP
acc_01033050,M,27,8390,18000,48,529,0.18,630,0,PAID_UP
acc_01033686,M,36,8307,10000,48,299,0.19,600,1136,LIVE
acc_01033953,M,22,22522,34000,60,673,0.07,970,0,PAID_UP
acc_01034027,F,39,6871,12000,60,311,0.19,610,0,PAID_UP
acc_01034044,M,42,12680,35000,12,3159,0.15,730,0,PAID_UP
acc_01036097,M,25,20980,87000,12,7608,0.09,950,40722,LIVE
acc_01037554,M,24,7480,24000,60,623,0.19,610,0,PAID_UP
acc_01038298,M,23,6361,8000,60,216,0.21,560,0,PAID_UP
acc_01039811,F,26,11500,40000,36,1348,0.13,820,0,PAID_UP
acc_01041886,M,46,15749,38000,72,783,0.14,790,34200,LIVE
acc_01042737,M,47,8597,27000,36,1003,0.2,580,0,PAID_UP
acc_01044188,F,36,15913,19000,60,413,0.11,900,0,PAID_UP
acc_01045348,M,18,15301,63000,60,1401,0.12,870,0,PAID_UP
acc_01046129,M,18,8251,11000,60,279,0.18,650,0,PAID_UP
acc_01047411,M,35,6924,25000,60,676,0.21,550,0,PAID_UP
acc_01048728,F,53,13035,37000,24,1776,0.14,780,0,PAID_UP
acc_01049005,F,23,6994,17000,36,606,0.17,660,0,PAID_UP
acc_01050053,F,21,14124,50000,60,1087,0.11,900,0,PAID_UP
acc_01050159,M,37,8653,26000,24,1311,0.19,610,0,PAID_UP
acc_01051453,M,45,13099,38000,48,1058,0.15,730,0,PAID_UP
acc_01051637,M,23,9963,21000,60,511,0.16,700,0,PAID_UP
acc_01052168,M,25,7530,33000,72,771,0.19,600,0,PAID_UP
acc_01053298,M,41,8579,7000,48,209,0.19,600,0,PAID_UP
acc_01053905,M,18,6553,7000,48,213,0.2,590,0,PAID_UP
acc_01055444,F,43,8139,22000,36,795,0.18,650,0,PAID_UP
acc_01055475,M,18,12924,39000,60,887,0.13,810,18381,LIVE
acc_01058172,M,32,5684,7000,48,232,0.25,510,420,DEFAULT
acc_01058653,F,28,3833,6000,36,235,0.24,520,986,DEFAULT
acc_01060059,F,37,13137,35000,60,796,0.13,830,0,PAID_UP
acc_01062207,M,31,11456,35000,48,992,0.16,730,0,PAID_UP
acc_01063623,M,32,20465,76000,72,1408,0.1,920,0,PAID_UP
acc_01063923,F,49,15858,15000,24,706,0.12,860,0,PAID_UP
acc_01064854,F,26,17089,47000,72,824,0.08,950,0,PAID_UP
acc_01066301,F,21,13553,50000,24,2330,0.11,890,0,PAID_UP
acc_01066782,M,30,11299,43000,24,2105,0.16,730,0,PAID_UP
acc_01069021,M,23,7730,24000,60,623,0.19,620,0,PAID_UP
acc_01070749,F,35,10827,20000,36,693,0.15,770,0,PAID_UP
acc_01070833,M,39,27533,22000,60,436,0.07,970,0,PAID_UP
acc_01070858,M,40,8106,15000,24,763,0.2,580,0,PAID_UP
acc_01070876,M,32,21834,79000,48,1966,0.09,940,12681,LIVE
acc_01071955,M,39,19936,26000,60,565,0.11,890,14420,LIVE
acc_01073028,M,51,7412,8000,60,226,0.23,520,1049,DEFAULT
acc_01073221,M,46,12434,23000,36,809,0.16,710,9981,LIVE
acc_01073602,M,46,27822,64000,60,1298,0.08,950,11379,LIVE
acc_01074016,M,28,15293,43000,24,2044,0.13,840,0,PAID_UP
acc_01076197,M,32,11937,37000,12,3340,0.15,740,0,PAID_UP
acc_01076597,M,45,16058,25000,48,683,0.14,800,10434,LIVE
acc_01078848,F,18,6106,7000,60,178,0.18,640,0,PAID_UP
acc_01079224,M,20,6266,16000,36,595,0.2,570,0,PAID_UP
acc_01079989,F,18,8364,23000,48,652,0.16,730,0,PAID_UP
acc_01080229,M,47,18988,14000,36,465,0.12,850,0,PAID_UP
acc_01081287,M,39,7877,19000,36,706,0.2,580,0,PAID_UP
acc_01082052,F,44,12250,8000,48,219,0.14,780,1179,LIVE
acc_01083044,M,52,7699,15000,60,423,0.23,530,0,PAID_UP
acc_01083674,M,36,24874,46000,36,1441,0.08,960,0,PAID_UP
acc_01083946,F,31,17210,36000,60,747,0.09,940,0,PAID_UP
acc_01086788,F,18,7338,17000,60,422,0.17,690,0,PAID_UP
acc_01087338,M,33,8009,19000,48,568,0.19,600,0,PAID_UP
acc_01087626,M,33,17048,68000,24,3201,0.12,860,0,PAID_UP
acc_01088013,M,18,9608,12000,48,340,0.16,700,3465,LIVE
acc_01088842,F,39,14838,18000,36,598,0.12,870,0,PAID_UP
acc_01089008,M,44,11624,12000,48,340,0.16,690,10800,LIVE
acc_01089170,M,45,10841,24000,60,596,0.17,670,0,PAID_UP
acc_01089497,F,33,17919,19000,60,394,0.09,950,5555,LIVE
acc_01089716,M,33,18437,53000,36,1735,0.11,880,15804,LIVE
acc_01092393,M,25,7435,10000,36,367,0.19,600,0,PAID_UP
acc_01093477,M,19,14488,48000,36,1594,0.12,850,0,PAID_UP
acc_01094728,F,38,6139,23000,48,700,0.2,580,0,PAID_UP
acc_01094851,M,24,17978,31000,48,801,0.11,900,11923,LIVE
acc_01096110,M,18,12886,52000,24,2497,0.14,810,0,PAID_UP
acc_01097276,F,38,10085,24000,24,1164,0.15,730,0,PAID_UP
acc_01098364,F,44,7449,19000,48,568,0.19,620,0,PAID_UP
acc_01098700,M,22,18808,59000,36,1904,0.1,920,19050,LIVE
acc_01099605,F,39,7447,21000,24,1048,0.18,630,7655,LIVE
acc_01099628,M,33,7503,29000,48,882,0.2,580,0,PAID_UP
acc_01099754,F,38,4691,17000,60,479,0.23,520,0,PAID_UP
acc_01101221,M,31,20095,52000,48,1319,0.1,920,0,PAID_UP
acc_01102642,F,25,19474,38000,72,577,0.03,1000,0,PAID_UP
acc_01103420,M,18,16410,15000,48,388,0.11,890,0,PAID_UP
acc_01103517,M,52,15006,30000,48,835,0.15,760,0,PAID_UP
acc_01103702,F,54,7445,18000,60,477,0.2,590,8006,LIVE
acc_01104098,F,20,3233,15000,36,581,0.23,530,5176,DEFAULT
acc_01104660,M,34,24555,48000,24,2171,0.08,960,0,PAID_UP
acc_01105145,F,36,15897,56000,72,1066,0.11,900,0,PAID_UP
acc_01105442,M,26,16050,67000,48,1764,0.12,860,0,PAID_UP
acc_01106660,F,38,14642,45000,36,1495,0.12,860,0,PAID_UP
acc_01109226,F,38,10763,26000,60,619,0.15,760,0,PAID_UP
acc_01109722,M,43,6914,16000,60,451,0.23,530,0,PAID_UP
acc_01111332,M,32,12005,39000,60,928,0.15,740,0,PAID_UP
acc_01112669,F,47,22461,61000,48,1461,0.07,970,0,PAID_UP
acc_01112963,F,18,5806,6000,48,176,0.18,630,0,PAID_UP
acc_01113815,F,31,14639,47000,36,1539,0.11,890,0,PAID_UP
acc_01114152,M,47,16688,12000,36,404,0.13,810,0,PAID_UP
acc_01114413,M,34,15471,33000,12,2947,0.13,820,0,PAID_UP
acc_01114478,M,26,6877,15000,60,397,0.2,580,2799,DEFAULT
acc_01114532,M,28,20693,30000,36,954,0.09,930,0,PAID_UP
acc_01115816,F,39,12702,37000,12,3305,0.13,810,0,PAID_UP
acc_01115872,F,33,7356,7000,24,349,0.18,650,0,PAID_UP
acc_01116282,M,48,12093,18000,60,438,0.16,700,0,PAID_UP
acc_01116879,M,43,6304,5000,36,210,0.29,500,1171,DEFAULT
acc_01117010,M,47,16668,29000,48,778,0.13,810,8948,LIVE
acc_01117164,M,47,24169,14000,60,297,0.1,920,0,PAID_UP
acc_01117547,M,21,9221,35000,36,1248,0.17,680,0,PAID_UP
acc_01118780,M,40,7127,9000,36,344,0.22,540,1946,LIVE
acc_01119114,F,52,10442,11000,36,387,0.16,700,2108,LIVE
acc_01119840,M,38,15413,16000,48,429,0.13,810,0,PAID_UP
acc_01121351,F,28,3669,15000,60,432,0.24,520,1252,DEFAULT
acc_01121652,F,28,19728,57000,48,1313,0.05,990,0,PAID_UP
acc_01123344,F,20,8610,8000,48,223,0.15,730,0,PAID_UP
acc_01124375,M,30,5833,9000,60,259,0.24,520,1714,DEFAULT
acc_01126431,M,43,24841,51000,36,1622,0.09,940,0,PAID_UP
acc_01127102,F,36,14180,16000,48,421,0.12,860,6564,LIVE
acc_01127971,F,37,7972,9000,60,224,0.17,660,0,PAID_UP
acc_01128184,M,36,6685,22000,48,693,0.22,540,0,PAID_UP
acc_01130043,F,34,8502,16000,48,462,0.17,690,3753,LIVE
acc_01130391,M,38,22910,22000,60,467,0.1,930,0,PAID_UP
acc_01130431,M,21,10681,17000,60,404,0.15,730,0,PAID_UP
acc_01131886,F,36,6834,22000,36,806,0.19,620,5655,LIVE
acc_01132515,F,29,12320,14000,36,472,0.13,830,0,PAID_UP
acc_01132923,M,44,30223,64000,48,1533,0.07,970,0,PAID_UP
acc_01132940,F,48,13383,28000,60,652,0.14,800,0,PAID_UP
acc_01133584,M,42,11488,38000,60,924,0.16,700,0,PAID_UP
acc_01133736,M,43,12378,32000,48,907,0.16,720,0,PAID_UP
acc_01133829,F,38,7909,29000,36,1048,0.18,650,0,PAID_UP
acc_01133926,F,34,17575,61000,48,1518,0.09,940,0,PAID_UP
acc_01134194,F,18,10749,33000,12,2947,0.13,820,0,PAID_UP
acc_01135314,M,34,11438,36000,48,1020,0.16,720,0,PAID_UP
acc_01137825,F,27,9976,27000,60,642,0.15,760,17983,LIVE
acc_01138429,F,25,10569,8000,60,186,0.14,790,0,PAID_UP
acc_01140480,F,40,6648,19000,48,568,0.19,600,0,PAID_UP
acc_01141633,M,18,12146,29000,60,675,0.14,790,0,PAID_UP
acc_01142716,M,48,36529,39000,72,610,0.04,990,0,PAID_UP
acc_01145057,M,18,13644,18000,36,606,0.13,830,0,PAID_UP
acc_01145161,M,36,10316,36000,60,895,0.17,680,0,PAID_UP
acc_01145477,M,21,6123,19000,60,514,0.21,560,8586,LIVE
acc_01145795,M,32,21679,53000,12,4635,0.09,930,0,PAID_UP
acc_01146057,M,52,19070,32000,48,858,0.13,840,0,PAID_UP
acc_01146602,F,26,7280,30000,60,746,0.17,660,5727,LIVE
acc_01147129,M,39,8294,19000,12,1751,0.19,590,0,PAID_UP
acc_01147508,M,30,6385,14000,48,441,0.22,540,0,PAID_UP
acc_01147658,M,33,16685,55000,60,1223,0.12,850,0,PAID_UP
acc_01147807,F,24,9117,28000,60,666,0.15,740,0,PAID_UP
acc_01148610,M,39,20304,54000,60,1174,0.11,890,0,PAID_UP
acc_01149010,M,27,6599,28000,60,757,0.21,560,0,PAID_UP
acc_01150209,M,38,10665,15000,60,373,0.17,680,0,PAID_UP
acc_01152871,M,44,9029,6000,24,302,0.19,610,3853,LIVE
acc_01152873,M,23,8601,12000,60,305,0.18,650,0,PAID_UP
acc_01152926,M,18,10067,15000,60,365,0.16,720,0,PAID_UP
acc_01154252,F,42,10355,25000,48,696,0.15,730,0,PAID_UP
acc_01154379,M,20,8757,22000,48,635,0.17,670,0,PAID_UP
acc_01155431,F,45,7587,20000,48,598,0.19,620,0,PAID_UP
acc_01157912,F,40,6409,6000,60,159,0.2,590,0,PAID_UP
acc_01158058,M,35,12524,45000,48,1252,0.15,750,16771,LIVE
acc_01158107,M,33,13893,24000,36,820,0.14,790,0,PAID_UP
acc_01158118,M,27,8844,18000,48,529,0.18,650,0,PAID_UP
acc_01159341,M,37,20259,45000,48,1163,0.11,900,0,PAID_UP
acc_01161167,M,38,14559,20000,60,465,0.14,790,0,PAID_UP
acc_01161759,M,30,21737,51000,48,1269,0.09,940,0,PAID_UP
acc_01162522,F,35,10584,34000,72,719,0.15,760,0,PAID_UP
acc_01163085,M,31,14752,15000,48,402,0.13,820,0,PAID_UP
acc_01163982,M,36,7148,12000,24,617,0.21,560,0,PAID_UP
acc_01164518,M,32,7905,14000,60,363,0.19,600,0,PAID_UP
acc_01169206,M,49,15611,22000,60,512,0.14,780,0,PAID_UP
